"","dapil_code","woman_win","prop_women"
"1",11043,0,0
"2",11044,1,0.333333333333333
"3",11091,1,0.111111111111111
"4",11101,1,0.2
"5",11142,0,0.2
"6",11152,0,0.111111111111111
"7",11182,1,0.333333333333333
"8",11713,0,0
"9",11721,1,0.181818181818182
"10",11731,1,0.333333333333333
"11",11742,1,0.2
"12",11743,1,0.333333333333333
"13",11753,0,0
"14",12022,1,0.142857142857143
"15",12051,0,0.0769230769230769
"16",12072,0,0.166666666666667
"17",12083,0,0
"18",12085,0,0
"19",12087,0,0.25
"20",12126,0,0.125
"21",12132,1,0.166666666666667
"22",12142,0,0.111111111111111
"23",12143,0,0.166666666666667
"24",12173,1,0.2
"25",12182,0,0
"26",12183,1,0
"27",12194,0,0
"28",12733,0,0.142857142857143
"29",12751,1,0.181818181818182
"30",12754,1,0.222222222222222
"31",12773,0,0.3
"32",13054,1,0.125
"33",13082,0,0.2
"34",13112,1,0.142857142857143
"35",13121,1,0.25
"36",13715,0,0.125
"37",13733,1,0.5
"38",13742,1,0.375
"39",13762,0,0.2
"40",13773,0,0.2
"41",14013,0,0.166666666666667
"42",14082,0,0
"43",14711,0,0.166666666666667
"44",14733,0,0
"45",15014,0,0
"46",15081,0,0.0909090909090909
"47",16025,0,0.166666666666667
"48",16044,0,0
"49",16074,1,0.125
"50",16095,1,0.2
"51",16112,0,0.166666666666667
"52",16113,1,0.285714285714286
"53",16713,1,0.285714285714286
"54",16714,1,0.222222222222222
"55",18012,1,0.285714285714286
"56",18036,0,0.25
"57",18045,1,0.285714285714286
"58",18063,0,0.181818181818182
"59",18081,0,0.2
"60",18721,1,0.333333333333333
"61",18722,0,0.166666666666667
"62",21023,1,0.2
"63",21711,1,0.3
"64",32015,1,0.222222222222222
"65",32025,0,0.2
"66",32052,0,0.230769230769231
"67",32062,1,0.333333333333333
"68",32081,0,0
"69",32103,0,0.0909090909090909
"70",32116,1,0.333333333333333
"71",32123,0,0.3
"72",32143,0,0.428571428571429
"73",32146,0,0.125
"74",32151,0,0.2
"75",32163,0,0.222222222222222
"76",32164,0,0.2
"77",32711,0,0.2
"78",32712,1,0.125
"79",32723,0,0
"80",32735,0,0.25
"81",32736,0,0.125
"82",32754,1,0.333333333333333
"83",32756,0,0
"84",32772,0,0.357142857142857
"85",33023,0,0.272727272727273
"86",33041,0,0.2
"87",33042,1,0.307692307692308
"88",33057,1,0.5
"89",33062,0,0.166666666666667
"90",33064,0,0.25
"91",33065,0,0.111111111111111
"92",33083,1,0.1
"93",33094,1,0.3
"94",33103,1,0.25
"95",33111,1,0
"96",33122,0,0.1
"97",33131,0,0.333333333333333
"98",33132,0,0.1
"99",33133,1,0.333333333333333
"100",33153,1,0.416666666666667
"101",33155,0,0.25
"102",33161,0,0.0909090909090909
"103",33163,0,0.111111111111111
"104",33182,1,0.1
"105",33192,0,0.166666666666667
"106",33194,1,0.181818181818182
"107",33204,1,0.1
"108",33211,1,0.25
"109",33223,0,0.2
"110",33253,1,0.2
"111",33261,1,0.142857142857143
"112",33264,1,0.0909090909090909
"113",33271,1,0.307692307692308
"114",33273,0,0.222222222222222
"115",33275,1,0.272727272727273
"116",33724,1,0.181818181818182
"117",33732,0,0.333333333333333
"118",33734,0,0.285714285714286
"119",33751,1,0.222222222222222
"120",33752,1,0.5
"121",33764,1,0.666666666666667
"122",34013,0,0.25
"123",34014,1,0.2
"124",34031,0,0.0833333333333333
"125",34045,0,0.222222222222222
"126",34712,1,0.285714285714286
"127",35015,0,0.2
"128",35023,1,0.111111111111111
"129",35063,1,0.571428571428571
"130",35072,1,0.285714285714286
"131",35074,1,0.25
"132",35084,0,0
"133",35085,0,0.285714285714286
"134",35091,0,0.333333333333333
"135",35092,0,0
"136",35095,1,0.111111111111111
"137",35102,0,0.111111111111111
"138",35124,1,0.428571428571429
"139",35131,1,0.142857142857143
"140",35142,1,0.181818181818182
"141",35144,0,0.1
"142",35153,1,0.333333333333333
"143",35154,0,0.222222222222222
"144",35156,0,0.25
"145",35162,1,0.2
"146",35163,0,0.142857142857143
"147",35172,1,0.1
"148",35175,0,0
"149",35185,1,0.2
"150",35205,0,0
"151",35224,0,0.333333333333333
"152",35232,0,0.111111111111111
"153",35283,0,0.111111111111111
"154",35713,0,0.166666666666667
"155",35732,1,0.4
"156",35735,1,0.1
"157",35782,1,0.454545454545455
"158",35784,1,0.363636363636364
"159",51024,0,0.181818181818182
"160",51063,0,0.0769230769230769
"161",51083,1,0.0833333333333333
"162",51085,0,0
"163",52022,0,0.125
"164",52025,0,0
"165",52043,1,0.0769230769230769
"166",52071,1,0.111111111111111
"167",53022,0,0.125
"168",53031,0,0.222222222222222
"169",53045,1,0.375
"170",53051,0,0.181818181818182
"171",53061,0,0.272727272727273
"172",53064,0,0.142857142857143
"173",53091,0,0.0833333333333333
"174",53122,1,0.2
"175",53123,1,0.125
"176",53133,1,0.111111111111111
"177",53134,0,0.25
"178",53141,0,0.333333333333333
"179",53194,1,0.0833333333333333
"180",53713,0,0.1
"181",61013,0,0.166666666666667
"182",61021,1,0.230769230769231
"183",61041,1,0
"184",61051,1,0.25
"185",61052,1,0.181818181818182
"186",61074,1,0.25
"187",61082,0,0.0833333333333333
"188",61121,1,0.133333333333333
"189",61711,1,0.222222222222222
"190",62032,0,0.111111111111111
"191",62034,1,0.125
"192",62091,1,0.25
"193",62111,1,0.333333333333333
"194",63051,1,0.111111111111111
"195",63052,0,0.111111111111111
"196",63062,1,0.375
"197",63071,1,0.1
"198",63113,0,0
"199",63712,1,0.3
"200",63715,0,0.181818181818182
"201",64081,0,0.2
"202",64712,0,0.285714285714286
"203",64726,0,0.25
"204",64742,1,0.1
"205",71033,1,0
"206",71062,1,0.25
"207",71711,1,0.125
"208",71712,1,0.333333333333333
"209",71713,1,0.428571428571429
"210",71721,1,0.555555555555556
"211",71722,0,0.1
"212",72012,0,0.222222222222222
"213",72063,0,0.25
"214",72711,1,0.111111111111111
"215",73061,1,0.125
"216",73067,0,0
"217",73123,0,0
"218",73132,1,0.285714285714286
"219",73152,1,0.1
"220",73186,1,0.333333333333333
"221",73713,1,0.333333333333333
"222",73723,1,0.1
"223",75021,1,0.428571428571429
"224",75022,1,0.142857142857143
"225",91043,1,0.142857142857143
"226",NA,NA,NA
